"name","crc","md5","sha1"
"Altered Space - A 3-D Alien Adventure (USA).gb","141675D3","012EE0A196C03CCA91A43A9EADBECFB6","CA586C59B2473A8BEC2F0F37504CB74E3A1E4D11"
"Amazing Penguin (USA, Europe).gb","3011D5CA","D8326BFEE457CCB2C0AFB8DD6AC11DB2","84CC6452823EB05EE38679AEC86E3CC6E4A50E6F"
"Amazing Spider-Man, The (USA, Europe).gb","2A4EAFE4","4A967A8F1DD6F627E8B72950739C26D4","0EFFB4580EFEAA323174A960BFD521FA28A18959"
"America Oudan Ultra Quiz (Japan).gb","3BE275CD","C0CA6588162206B5982BA77BCF6397CE","9761F22250FAF9C241FD7F9E2D00436F3FD454E7"
"America Oudan Ultra Quiz Part 2 (Japan).gb","1B3231C8","9148245E7196C286506AD6B8BEF73E35","34C417F6F9DB7E8021FB1AF6C12F22C9B48BB723"
"America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan).gb","80CAC37C","EF84A328B1C87D22448ACCDB713A2329","61ACFB83A35B2D73FAD607DDD7FC1AC49E41492E"
"America Oudan Ultra Quiz Part 4 (Japan).gb","A76043C8","6F32E45CC1829AB2FC3048634B68D749","30184DE60214B8D16D044433CD92F0B2A975E9D6"
"Amida (Japan).gb","60128AA8","9642B7C599B47135CBD4E45E039D608D","2B502583AA73CB72557589791DEC7E28A2D29969"
"Animal Breeder (Japan) (SGB Enhanced).gb","C2EEC22F","54CEAD768696A61B7CD31F91C0C58021","A34B7C4ACC4454D96F93A7B04069ADBCC3BC75A0"
"Animal Breeder 2 (Japan) (SGB Enhanced).gb","8D573F37","208B978E1EE53EFA875CD6DFC42223F2","214D75221DBFB1A562740AA53E0239A73BEE9A2D"
"Animaniacs (Europe) (SGB Enhanced).gb","7B23E05C","AE3F9A9C9A1CE63578BA68B3511C359C","031421F49F98A15187012DC3F15960B260B9979F"
"Animaniacs (USA) (SGB Enhanced).gb","673C815D","84FF06249F96442626CDD75A5FA440CE","A0732F81E0C4F1BBA592563BDC0EAAE9D759EF28"
"Another Bible (Japan) (SGB Enhanced).gb","4A486435","FF9196CAA266AE36D409CE7E53DDC77A","6A5D0DA889247169135665DC91F153305E1C71B6"
"Aoki Densetsu Shoot! (Japan) (SGB Enhanced).gb","08727760","6CBAAF40726A834BA7B3D7F179A140FE","95574E1EEF5FBEBDE6F068091BC7298000EA2397"
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced).gb","8259AC54","25EC0916FF6F24A1878A9F30991D301D","A4849175191C44D878AFF9EF1A86C3FE5E22E266"
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced).gb","B14C3B31","516085555E451966B9DD5166DFE6C728","405BC3736CFBEA3F2259AD3E53A9D64C6523DE4A"
"Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced).gb","D06B3F8A","08F46BB59E52562F08C76F4E6C0040C5","59EA594AF8520732F78C337F5C96A5BA2BDDF1CB"
